,log2FoldChange,pvalue,padj
Dapma7bEVm000001,-0.047306915,0.857454548,0.973462762
Dapma7bEVm000002,0.366275978,0.028844622,0.261971963
Dapma7bEVm000003,0.2635353,0.452546645,0.851767166
Dapma7bEVm000004,-0.054316345,0.909615729,0.983909459
Dapma7bEVm000005,-0.29990006,0.182387081,0.636373126
Dapma7bEVm000006,0.039108752,0.872686528,0.976136843
Dapma7bEVm000007,-7.018317741,0.003408865,NA
Dapma7bEVm000008,0.111864527,0.491392808,0.871582063
Dapma7bEVm000009,-0.094166788,0.620584015,0.915439413
Dapma7bEVm000010,0.297096502,0.11254895,0.53203952
Dapma7bEVm000011,0.364606973,0.066000589,0.410516364
Dapma7bEVm000012,0.240903897,0.417308723,0.831594512
Dapma7bEVm000013,0.147245863,0.436757253,0.842048136
Dapma7bEVm000014,0.173879065,0.558559276,0.896797781
Dapma7bEVm000015,-0.220752394,0.191569374,0.645390091
Dapma7bEVm000016,0.191202742,0.133982632,0.571846229
Dapma7bEVm000017,0.105383585,0.636158918,0.919230007
Dapma7bEVm000018,-0.098688284,0.621519754,0.91570864
Dapma7bEVm000019,0.151639705,0.409530839,0.825535973
Dapma7bEVm000020,-0.057149241,0.87486307,0.976136843
Dapma7bEVm000021,0.534815011,0.000363525,0.011500373
Dapma7bEVm000022,0.203586103,0.269261158,0.724213796
Dapma7bEVm000023,-0.092305111,0.742922,0.950272967
Dapma7bEVm000024,-0.686126901,0.168889658,NA
Dapma7bEVm000025,-0.038616661,0.872378168,0.976136843
Dapma7bEVm000026,0.207260578,0.555700483,0.8962249
Dapma7bEVm000027,0.04132998,0.915661671,0.98486372
Dapma7bEVm000028,0.478798245,0.105937584,0.520813886
Dapma7bEVm000029,0.003480092,0.981492757,0.997379177
Dapma7bEVm000030,-0.359230922,0.087567973,0.474163997
Dapma7bEVm000031,0.305071965,0.174016211,0.625037437
Dapma7bEVm000032,0.474076353,6.46E-06,0.000387055
Dapma7bEVm000033,0.071284298,0.806400481,0.961784623
Dapma7bEVm000034,-0.123754227,0.558786536,0.896797781
Dapma7bEVm000035,-0.153419041,0.494595619,0.873453884
Dapma7bEVm000036,-0.307938204,0.387361002,0.812732279
Dapma7bEVm000037,0.414768553,0.431436255,0.837864566
Dapma7bEVm000038,0.743546609,0.016169362,0.185196871
Dapma7bEVm000039,0.249240318,0.441323298,0.844538175
Dapma7bEVm000040,-0.11562722,0.664067825,0.930033312
Dapma7bEVm000041,-0.107232991,0.515173867,0.882062464
Dapma7bEVm000042,0.444561935,0.271799701,NA
Dapma7bEVm000043,0.460939948,0.00024039,0.008453391
Dapma7bEVm000044,0.063409286,0.836075183,0.967021886
Dapma7bEVm000045,0.296428587,0.118402782,0.542892067
Dapma7bEVm000046,1.580039384,0.004571329,0.081384961
Dapma7bEVm000047,0.61020454,0.107198526,0.524890365
Dapma7bEVm000048,0.232561234,0.268764499,0.723272021
Dapma7bEVm000049,-0.03400049,0.90933444,0.983907957
Dapma7bEVm000050,1.363892032,0.20476645,0.662356197
Dapma7bEVm000051,0.057253015,0.879652001,0.976245923
Dapma7bEVm000052,0.139875262,0.662956168,0.930033312
Dapma7bEVm000053,-0.151703942,0.282769783,0.737696926
Dapma7bEVm000054,-0.113575977,0.477696909,0.86443172
Dapma7bEVm000055,0.241145916,0.162784859,0.610637509
Dapma7bEVm000056,0.187231941,0.277828399,0.731362215
Dapma7bEVm000057,-0.864157855,0.013285833,0.164334941
Dapma7bEVm000058,0.453920725,0.000830452,0.022578748
Dapma7bEVm000059,0.081443073,0.810134591,0.961784623
Dapma7bEVm000060,-0.380908085,5.78E-05,0.002588411
Dapma7bEVm000061,-0.279508874,0.40581944,0.823734319
Dapma7bEVm000062,-0.127119703,0.523758407,0.884361914
Dapma7bEVm000063,0.900569254,0.025522979,0.242953638
Dapma7bEVm000064,0.229306321,0.196172115,0.653395186
Dapma7bEVm000065,0.665066734,4.18E-05,0.001986107
Dapma7bEVm000066,-0.009479403,0.993114707,0.99836826
Dapma7bEVm000067,-0.286088181,0.079128757,0.450726724
Dapma7bEVm000068,-0.318423591,0.076564396,0.444091701
Dapma7bEVm000069,-0.35355745,0.093280023,0.488199873
Dapma7bEVm000070,-0.758322765,0.219873973,NA
Dapma7bEVm000071,0.435917514,0.297188439,0.749577242
Dapma7bEVm000072,0.267895373,0.58136597,0.904440526
Dapma7bEVm000073,-1.557050828,1.43E-08,1.84E-06
Dapma7bEVm000074,0.596563995,0.235821217,0.696307663
Dapma7bEVm000075,0.063252361,0.72431075,0.945198333
Dapma7bEVm000076,-0.276523075,0.160368449,0.606279655
Dapma7bEVm000077,-0.262457452,0.22733647,0.689631121
Dapma7bEVm000078,-0.020979681,0.927993434,0.986659686
Dapma7bEVm000079,0.000805309,0.99621314,0.999022984
Dapma7bEVm000080,0.078901267,0.687851986,0.936879065
Dapma7bEVm000081,0.619537903,0.01483677,0.17511916
Dapma7bEVm000082,-0.084726619,0.826296843,0.965772028
Dapma7bEVm000083,-0.237970269,0.700123125,0.940586474
Dapma7bEVm000084,-0.174202521,0.667002952,0.930648564
Dapma7bEVm000085,-0.067163228,0.830343098,0.966225934
Dapma7bEVm000086,-0.162392555,0.759842671,NA
Dapma7bEVm000087,0.271095745,0.099993717,0.509169158
Dapma7bEVm000088,-0.46698648,0.012035465,0.154482367
Dapma7bEVm000089,0.920760701,0.342887512,0.78292802
Dapma7bEVm000090,-0.474502163,0.02510471,0.240208519
Dapma7bEVm000091,0.560775501,0.497509201,NA
Dapma7bEVm000092,-0.457109347,0.059652988,0.390075427
Dapma7bEVm000093,0.308063194,0.341865847,0.781848107
Dapma7bEVm000094,-0.151102413,0.62936428,0.918444319
Dapma7bEVm000095,0.064679857,0.791893328,0.958268461
Dapma7bEVm000096,0.213621214,0.331314747,0.77392318
Dapma7bEVm000097,0.073502377,0.717436866,0.944285484
Dapma7bEVm000098,0.017587557,0.943733858,0.991515667
Dapma7bEVm000099,0.176589342,0.433306704,0.839581067
