,log2FoldChange,pvalue,padj
Dapma7bEVm000001,0.261794976,0.316584583,0.941696037
Dapma7bEVm000002,0.388190941,0.020463888,0.471954836
Dapma7bEVm000003,0.20514096,0.558161696,0.971159653
Dapma7bEVm000004,0.243816111,0.609707131,0.979705803
Dapma7bEVm000005,-0.07774452,0.728991897,0.994284703
Dapma7bEVm000006,0.032252517,0.894742823,0.996018607
Dapma7bEVm000007,-1.138905998,0.601077407,0.978236066
Dapma7bEVm000008,0.062058034,0.702392052,0.992113972
Dapma7bEVm000009,0.062155673,0.743537929,0.995280907
Dapma7bEVm000010,0.150866524,0.420099902,0.952985701
Dapma7bEVm000011,0.225949009,0.254542738,0.912207881
Dapma7bEVm000012,0.252131128,0.395675706,0.952985701
Dapma7bEVm000013,0.11928082,0.528703664,0.969618438
Dapma7bEVm000014,0.353337633,0.233680517,0.906192043
Dapma7bEVm000015,-0.195837295,0.244595958,0.908193465
Dapma7bEVm000016,0.239079113,0.06057498,0.720307171
Dapma7bEVm000017,0.122113698,0.582939222,0.97306878
Dapma7bEVm000018,-0.013113866,0.947608538,0.997211633
Dapma7bEVm000019,0.148753884,0.417759429,0.952985701
Dapma7bEVm000020,-0.123247011,0.733691278,0.995017073
Dapma7bEVm000021,0.188539432,0.209117717,0.884141008
Dapma7bEVm000022,0.284620464,0.122100955,0.820673033
Dapma7bEVm000023,0.217972707,0.43644634,0.954579575
Dapma7bEVm000024,-1.110549053,0.026478939,0.532083325
Dapma7bEVm000025,0.099563533,0.677922742,0.98763587
Dapma7bEVm000026,0.493316985,0.158807388,0.853317883
Dapma7bEVm000027,0.195379091,0.615641953,0.980781759
Dapma7bEVm000028,0.204564005,0.48980202,0.963491875
Dapma7bEVm000029,-0.070961632,0.635881915,0.984106412
Dapma7bEVm000030,0.042899803,0.835716932,0.995987636
Dapma7bEVm000031,0.360607534,0.107624376,0.803593561
Dapma7bEVm000032,0.151456929,0.150016969,0.847729028
Dapma7bEVm000033,0.21419548,0.459814505,0.959980398
Dapma7bEVm000034,-0.109924373,0.602949927,0.97945564
Dapma7bEVm000035,-0.161531366,0.471720327,0.959980398
Dapma7bEVm000036,-0.601291475,0.091553843,0.786523202
Dapma7bEVm000037,0.334210975,0.526011912,0.969243458
Dapma7bEVm000038,0.188882649,0.54172804,0.971159653
Dapma7bEVm000039,0.334133031,0.301793469,0.934156671
Dapma7bEVm000040,-0.260863649,0.326897185,0.941696037
Dapma7bEVm000041,0.139812609,0.39389433,0.952985701
Dapma7bEVm000042,0.372568161,0.355631837,0.947009914
Dapma7bEVm000043,0.23168192,0.064903967,0.725646985
Dapma7bEVm000044,0.183772204,0.548143364,0.971159653
Dapma7bEVm000045,0.258931441,0.172424361,0.86392059
Dapma7bEVm000046,1.323389523,0.017550356,0.438097548
Dapma7bEVm000047,0.380507338,0.315038054,0.941696037
Dapma7bEVm000048,0.179085175,0.394392421,0.952985701
Dapma7bEVm000049,-0.011614921,0.968897541,0.999117826
Dapma7bEVm000050,2.826913226,0.008519498,0.318647033
Dapma7bEVm000051,-0.212678868,0.573894496,0.971464427
Dapma7bEVm000052,0.088678676,0.782195342,0.995280907
Dapma7bEVm000053,-0.104264443,0.458095559,0.959260602
Dapma7bEVm000054,0.008923048,0.95532338,0.998126384
Dapma7bEVm000055,0.149221515,0.387710655,0.952985701
Dapma7bEVm000056,0.163075031,0.343895468,0.943571883
Dapma7bEVm000057,0.21565877,0.531324621,0.969618438
Dapma7bEVm000058,0.370449967,0.006354932,0.276700296
Dapma7bEVm000059,0.381746136,0.259575397,0.918600963
Dapma7bEVm000060,-0.05031108,0.59315962,0.976892568
Dapma7bEVm000061,0.313361742,0.347114088,0.94442722
Dapma7bEVm000062,0.046567094,0.814485089,0.995280907
Dapma7bEVm000063,0.601346247,0.135979785,0.832203383
Dapma7bEVm000064,0.44154874,0.012551685,0.37933098
Dapma7bEVm000065,0.436646328,0.007122915,0.287823019
Dapma7bEVm000066,0.973729922,0.374835244,0.94908951
Dapma7bEVm000067,-0.131967747,0.416061565,0.952985701
Dapma7bEVm000068,-0.275235852,0.12478446,0.826798056
Dapma7bEVm000069,-0.277313196,0.186621623,0.877495148
Dapma7bEVm000070,-1.971926407,0.001833269,0.139706099
Dapma7bEVm000071,0.267502904,0.522267058,0.968475807
Dapma7bEVm000072,0.009653781,0.984148993,0.999771496
Dapma7bEVm000073,-0.724800481,0.006694495,0.277967088
Dapma7bEVm000074,0.673755202,0.180408701,0.871547321
Dapma7bEVm000075,0.228509229,0.202161315,0.883183547
Dapma7bEVm000076,-0.284162331,0.148212275,0.845416249
Dapma7bEVm000077,-0.114773505,0.597114963,0.977416671
Dapma7bEVm000078,-0.149515622,0.519240338,0.967551654
Dapma7bEVm000079,0.095829805,0.570669822,0.971159653
Dapma7bEVm000080,-0.004747816,0.980699283,0.99935476
Dapma7bEVm000081,0.321874791,0.205641847,0.884141008
Dapma7bEVm000082,0.253281189,0.511236792,0.96749809
Dapma7bEVm000083,0.895647253,0.145637021,0.84429394
Dapma7bEVm000084,0.094906298,0.81328581,0.995280907
Dapma7bEVm000085,0.291926272,0.350275193,0.945049007
Dapma7bEVm000086,0.246848543,0.638800901,0.984108345
Dapma7bEVm000087,0.18149465,0.270507654,0.921222436
Dapma7bEVm000088,-0.017871688,0.922844055,0.996018607
Dapma7bEVm000089,-0.353472957,0.716287654,0.994207572
Dapma7bEVm000090,-0.310156951,0.141560772,0.839745761
Dapma7bEVm000091,1.136470454,0.167923612,0.861801771
Dapma7bEVm000092,-0.160991773,0.504612161,0.965356289
Dapma7bEVm000093,0.550415663,0.087878559,0.779299271
Dapma7bEVm000094,0.077866137,0.801842374,0.995280907
Dapma7bEVm000095,0.094601243,0.699076062,0.992113972
Dapma7bEVm000096,0.144743116,0.51010999,0.967229321
Dapma7bEVm000097,-0.010327259,0.959419294,0.998693083
Dapma7bEVm000098,-0.016064363,0.948559319,0.997211633
Dapma7bEVm000099,0.178306192,0.42833867,0.953108977
Dapma7bEVm000100,0.370372271,0.135356585,0.831977978
Dapma7bEVm000101,-0.430199066,0.561179247,0.971159653
Dapma7bEVm000102,0.068568851,0.683104989,0.98976895
Dapma7bEVm000103,-0.450353633,0.176365719,0.867593008
Dapma7bEVm000104,0.096424877,0.556019891,0.971159653
Dapma7bEVm000105,0.407422949,0.052827467,0.690979705
Dapma7bEVm000106,0.43447298,0.644671577,0.984108345
Dapma7bEVm000107,0.107000931,0.553342677,0.971159653
Dapma7bEVm000108,-0.008102684,0.940849808,0.997211633
Dapma7bEVm000109,-0.16013543,0.356607874,0.947009914
Dapma7bEVm000110,0.414029348,0.127726027,0.828614689
Dapma7bEVm000111,0.348475092,0.110922775,0.804784529
Dapma7bEVm000112,-0.080921396,0.960453208,0.998801612
Dapma7bEVm000113,-0.02012756,0.979398196,0.999279828
Dapma7bEVm000114,0.134008425,0.893646038,0.996018607
Dapma7bEVm000115,-0.000591689,0.996684892,0.999771496
Dapma7bEVm000116,0.31544593,0.172902901,0.86392059
Dapma7bEVm000117,0.235033449,0.180016272,0.870726969
Dapma7bEVm000118,-0.071613435,0.591593116,0.975885279
Dapma7bEVm000119,0.320438158,0.154585169,0.851279019
Dapma7bEVm000120,-0.018209753,0.931232578,0.997211633
Dapma7bEVm000121,0.245461869,0.295529487,0.933826739
Dapma7bEVm000122,0.061046429,0.859353733,0.996018607
Dapma7bEVm000123,-0.060460141,0.773751763,0.995280907
Dapma7bEVm000124,0.029831338,0.914506695,0.996018607
Dapma7bEVm000125,0.261907887,0.302547977,0.934655977
Dapma7bEVm000126,0.311973413,0.169672505,0.862787273
Dapma7bEVm000127,0.092782734,0.493447672,0.964158903
Dapma7bEVm000128,0.171975406,0.282733019,0.926961898
Dapma7bEVm000129,0.187325473,0.260247365,0.918809966
Dapma7bEVm000130,0.184986204,0.751153979,0.995280907
Dapma7bEVm000131,-0.116177634,0.595771735,0.977416671
Dapma7bEVm000132,-0.110504924,0.724111153,0.994207572
Dapma7bEVm000133,0.015637462,0.941058306,0.997211633
Dapma7bEVm000134,0.006622416,0.961559208,0.999006385
Dapma7bEVm000135,0.394010142,0.084225032,0.776295698
Dapma7bEVm000136,0.022290223,0.883172905,0.996018607
Dapma7bEVm000137,0.070849673,0.772845474,0.995280907
Dapma7bEVm000138,0.174466175,0.586513955,0.973717642
Dapma7bEVm000139,0.076219919,0.686037995,0.990313418
Dapma7bEVm000140,-0.064639026,0.958408053,0.998693083
Dapma7bEVm000141,-0.229108635,0.320541317,0.941696037
Dapma7bEVm000142,-0.248292791,0.250660336,0.908193465
Dapma7bEVm000144,1.164517997,0.080606661,0.765159542
Dapma7bEVm000145,-2.950647339,0.198817856,0.882036162
Dapma7bEVm000146,-0.10092106,0.677710919,0.987545798
Dapma7bEVm000147,0.197684236,0.871741588,0.996018607
Dapma7bEVm000148,-0.355839045,0.133736242,0.831909087
Dapma7bEVm000149,5.364566248,1.64E-05,0.006031831
Dapma7bEVm000150,0.029870429,0.893357645,0.996018607
Dapma7bEVm000151,0.010260614,0.972365851,0.999117826
Dapma7bEVm000152,0.117764128,0.79503189,0.995280907
Dapma7bEVm000153,0.136281623,0.416039123,0.952985701
Dapma7bEVm000154,0.114436762,0.579778232,0.972390868
Dapma7bEVm000155,-0.392833845,0.716906751,0.994207572
Dapma7bEVm000156,-0.227213647,0.452715955,0.95782018
Dapma7bEVm000157,-0.06768148,0.765240514,0.995280907
Dapma7bEVm000158,0.055439694,0.822718925,0.995280907
Dapma7bEVm000159,-0.140496023,0.765560592,0.995280907
Dapma7bEVm000160,-0.043990422,0.743723153,0.995280907
Dapma7bEVm000161,0.014503676,0.960678977,0.998963876
Dapma7bEVm000162,-0.028297141,0.793464022,0.995280907
Dapma7bEVm000163,0.019259024,0.944978979,0.997211633
Dapma7bEVm000164,0.30209608,0.095488331,0.793659898
Dapma7bEVm000165,-0.017430645,0.913418436,0.996018607
Dapma7bEVm000166,0.13139788,0.451270277,0.957609563
Dapma7bEVm000167,0.15585519,0.452852319,0.95782018
Dapma7bEVm000168,0.672575888,0.19152976,0.877495148
Dapma7bEVm000169,-0.146647576,0.599244277,0.978145926
Dapma7bEVm000170,0.208702531,0.590393953,0.975603595
Dapma7bEVm000171,-0.079520473,0.588501675,0.974486937
Dapma7bEVm000172,0.238484507,0.387294262,0.952985701
Dapma7bEVm000173,0.006997729,0.97473069,0.999117826
Dapma7bEVm000174,0.12249597,0.493560843,0.964158903
Dapma7bEVm000175,0.448482605,0.050849624,0.682056367
Dapma7bEVm000176,0.10267106,0.697689188,0.991796615
Dapma7bEVm000177,0.200821457,0.310589231,0.939154914
Dapma7bEVm000178,-0.186550626,0.476281686,0.959980398
Dapma7bEVm000179,-0.045916798,0.839767046,0.995987636
Dapma7bEVm000180,0.235334501,0.144245,0.841442447
Dapma7bEVm000181,0.100990799,0.621858778,0.980944104
