,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm000001,217.2878046,177.7489129,150.1890263,143.6245851,150.9260124,166.6425777,112.2173227,178.4669355,225.7800267,254.0264259,201.946682,146.9508704,198.5245229,204.3979032,142.9427124,121.4557713
Dapma7bEVm000002,2601.639935,2287.178782,1921.346757,1707.536734,2141.607066,2599.445984,2227.612291,2522.455346,2811.741053,3352.710845,2644.539884,2342.958259,2991.516405,2954.322635,2078.167127,2957.554572
Dapma7bEVm000003,138.8025775,186.3151255,140.5340174,152.0236836,106.8600233,192.4855442,133.8732972,246.5419521,190.5230856,287.9696121,103.3774682,130.4395366,244.4333189,219.8565682,144.9419112,132.1097864
Dapma7bEVm000004,228.9152457,274.1188054,228.5018757,133.5456668,150.9260124,71.29094231,171.2790714,518.8420186,229.8481353,258.4061918,287.2931965,248.7707618,193.5614099,336.65537,219.9118653,82.03591572
Dapma7bEVm000005,688.1991672,971.1943613,826.0396444,694.6054496,645.566739,645.1830279,550.258626,756.1846442,815.655772,989.8271077,514.4832137,691.2745062,893.3603532,640.6757807,532.7864736,516.7197289
Dapma7bEVm000006,654.7702742,745.2605021,522.4432556,414.0755582,435.1516415,622.9046084,458.7129154,850.0177752,738.3617088,632.8761817,518.0894045,499.192657,651.4085909,653.5580015,464.8137153,630.7176897
Dapma7bEVm000007,0,19.2739785,75.09451313,4.199549272,6.609898352,4.455683894,1.968724959,0,0,44.89260112,0,0,0,0,0,0
Dapma7bEVm000008,1334.975576,1547.272163,1096.379892,1003.692276,1126.987669,1072.037545,976.4875796,1363.340198,1302.472766,1318.309555,1288.612161,1291.186299,1424.413452,1590.52486,1112.554118,1255.04297
Dapma7bEVm000009,1364.770893,1864.222032,1428.941307,1250.625773,1086.226629,1348.289946,1135.954301,1700.03555,1517.404504,1825.267465,1460.507254,1365.487301,1445.506683,1443.667543,1011.59458,1633.260504
Dapma7bEVm000010,797.2064271,706.7125451,640.4489191,833.1905756,731.4954176,923.2177029,667.397761,938.3313103,819.7238806,802.5921127,802.9784738,881.1548443,1158.886903,1011.683739,872.6502654,617.9328716
Dapma7bEVm000011,3847.956273,5233.95594,3153.969551,3566.257242,3154.023163,3344.436331,3606.704124,4759.731568,5839.769879,4392.905261,4096.632693,4149.298171,5574.81676,5691.365146,3617.550184,5461.248104
Dapma7bEVm000012,722.3547753,1135.023179,658.686158,508.9853718,613.618897,557.8516236,711.6940726,1081.840805,1147.206622,1196.771049,591.4152831,665.9571278,1047.216859,1089.835879,674.7295867,761.7620745
Dapma7bEVm000013,245971.975,201551.2055,167470.4193,147294.9912,193536.7221,129270.0834,113632.8359,156482.3848,178150.6113,222932.2774,226449.5461,200464.103,205309.0985,221754.5487,168480.4776,248656.1875
Dapma7bEVm000014,390.9727053,555.7330469,239.2296632,311.606556,322.7833695,406.3583712,307.1210936,723.0670685,468.5105058,536.5213305,482.027497,426.5427885,461.5695158,495.5360931,290.8834218,441.0762222
Dapma7bEVm000015,475.271653,496.8403348,465.5859814,338.4836713,348.1213132,339.5231128,345.5112303,404.7703691,412.9130217,332.8622132,409.903682,392.9697432,359.8256978,375.3020324,326.8689998,461.3188507
Dapma7bEVm000016,1927.248354,2040.900168,1499.744705,1757.931325,2072.203133,1738.607856,1877.179248,2042.250499,2235.425669,2233.680641,1925.705861,2132.713942,2242.086331,2304.199892,1824.268882,1880.433652
Dapma7bEVm000017,459.2839215,731.3404066,400.1464771,419.9549272,425.2367939,456.2620308,425.2445911,410.2899651,477.3247411,570.4645167,584.2029016,555.8815695,703.5212782,571.1117884,528.7880761,359.0403065
Dapma7bEVm000018,925.8349937,1202.482103,819.6029718,692.9256299,700.6492253,682.6107726,631.9607118,991.6874044,923.4606496,862.8138947,1006.127219,815.6598871,1023.642071,898.3201965,659.7355958,818.2283542
Dapma7bEVm000019,806.6537229,768.817587,578.2277511,637.4915795,564.0446593,649.6387118,629.0076243,804.0211423,749.2099984,846.3897724,861.8795894,641.740505,806.5058744,942.1197472,575.7692473,776.6776956
Dapma7bEVm000020,155.5170241,123.1393071,81.53118568,216.6967424,102.4534244,190.7032707,80.71772331,207.9047805,117.297131,170.8108726,114.1960404,128.7884032,165.0235097,170.9041292,110.955532,108.6709533
Dapma7bEVm000021,954.1768813,818.0733098,834.6218745,889.4645358,816.3224464,1013.222518,867.2233443,824.2596608,1078.048776,1126.694794,948.4281674,835.4734876,1469.08147,1215.222828,998.5997883,1387.152757
Dapma7bEVm000022,1566.797682,1597.598663,1189.711644,1322.858021,1240.457591,1302.841971,1192.062963,1425.895619,1907.26491,1999.363162,1556.672341,1453.547748,1818.980941,1865.345571,1052.578155,1801.593941
Dapma7bEVm000023,220.92138,247.3493908,205.9735217,309.0868264,348.1213132,258.4296659,177.1852463,380.8521201,305.1081441,185.0451119,295.7076415,356.0944312,199.7653012,280.8324133,172.9306941,268.4811787
Dapma7bEVm000024,31.97546289,65.3173716,82.60396444,72.23224748,58.38743544,83.76685721,50.20248645,27.59797971,42.03712208,18.61400534,20.43508092,34.12342308,22.33400883,36.92903294,69.97195713,26.63503757
Dapma7bEVm000025,510.1539761,478.6371328,229.5746544,424.9943863,436.2532912,435.7658849,394.7293542,456.2865979,421.0492389,597.838054,401.4892369,344.5364975,430.5500591,460.3246896,374.8497704,335.6014734
Dapma7bEVm000026,167.8711802,143.4840622,68.65784057,118.4272895,142.1128146,88.22254111,107.2955103,206.0649152,233.9162438,118.253681,179.1074739,170.6171154,127.8001616,173.4805733,96.9611406,177.922051
Dapma7bEVm000027,109.0072599,144.5548388,219.9196456,119.2671993,160.8408599,107.8275502,113.2016851,207.9047805,89.49838895,289.0645536,145.4496936,155.2065372,122.8370486,132.2574668,108.9563333,245.0423457
Dapma7bEVm000028,380.0719794,356.5686023,210.2646368,191.4994468,206.0084986,165.7514409,226.4033703,279.6595278,357.9935558,281.3999631,383.4582831,290.0490962,425.5869461,392.4783268,220.9114647,548.681774
Dapma7bEVm000029,1146.756374,1254.950156,1851.616138,1335.456668,1253.677387,1414.234068,1274.749411,1157.275283,1332.983581,1148.593624,1361.93804,1471.159837,1475.285361,1429.926508,1382.445953,1311.50925
Dapma7bEVm000030,180.9520514,188.4566787,157.6984776,183.9402581,132.197967,121.1946019,85.63953571,121.4311107,200.693357,153.2918087,219.9776358,160.1599374,143.9302791,121.9516902,133.9463179,155.5486194
