,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm000001,8.647029638,8.483820306,8.355510374,8.322776749,8.359128682,8.433760756,8.151698524,8.486986268,8.679455354,8.781705177,8.586236514,8.339478245,8.572260177,8.596151466,8.319323133,8.204782807
Dapma7bEVm000002,11.45591535,11.28435053,11.05499539,10.90175514,11.19742006,11.45478656,11.24941261,11.41460318,11.56010513,11.79808953,11.4778113,11.31631483,11.64363393,11.62674581,11.15782601,11.62822118
Dapma7bEVm000003,8.298129235,8.521063731,8.307040116,8.364497183,8.119694003,8.547204008,8.272375183,8.755399703,8.538950559,8.894704362,8.098368654,8.254085116,8.747889962,8.656926348,8.329419875,8.263018522
Dapma7bEVm000004,8.691218884,8.849776234,8.689674144,8.270642677,8.359128682,7.87802002,8.454912609,9.481157599,8.694698126,8.796852394,8.892545838,8.763289825,8.551705327,9.041440848,8.657138537,7.957281166
Dapma7bEVm000005,9.792919936,10.19617001,10.00370568,9.803449296,9.720758598,9.720091919,9.544521849,9.900826935,9.988879541,10.21908562,9.472132316,9.797984427,10.09622875,9.712236901,9.50964101,9.476770585
Dapma7bEVm000006,9.736654787,9.884036958,9.488570026,9.245895851,9.296586636,9.680828486,9.351109369,10.03735869,9.873329637,9.698538938,9.479603455,9.439996674,9.730869468,9.734571273,9.364879848,9.694724258
Dapma7bEVm000007,6.724414309,7.335765067,7.906817913,7.011449149,7.084181875,7.020043254,6.921114837,6.724414309,6.724414309,7.648552503,6.724414309,6.724414309,6.724414309,6.724414309,6.724414309,6.724414309
Dapma7bEVm000008,10.58796168,10.7750973,10.34347359,10.235901,10.37728249,10.31600023,10.20271761,10.61442748,10.55701959,10.57217964,10.54361796,10.54611639,10.66980186,10.8103979,10.36143936,10.51062952
Dapma7bEVm000009,10.6157495,11.01562868,10.6738231,10.50623144,10.33207877,10.60044579,10.3870368,10.89607004,10.7502029,10.98815076,10.70154746,10.61641104,10.68843942,10.68682402,10.24539644,10.84444261
Dapma7bEVm000010,9.962147127,9.823135268,9.711840368,10.01382607,9.862591203,10.13540389,9.758174988,10.15482879,9.994706567,9.970003261,9.97056517,10.07989684,10.41168434,10.24550321,10.06840463,9.671913545
Dapma7bEVm000011,11.9860857,12.41028895,11.71515946,11.88217703,11.71518249,11.7947304,11.89756521,12.27873016,12.56257799,12.16803302,12.07197214,12.08952263,12.4979439,12.52673291,11.90166383,12.46932682
Dapma7bEVm000012,9.848167357,10.38602698,9.743363837,9.460663731,9.664131618,9.559410749,9.831155672,10.32712828,10.39918386,10.45149056,9.623376677,9.755736464,10.28742993,10.33613982,9.770520019,9.909322617
Dapma7bEVm000013,17.90937405,17.6222995,17.35536691,17.17041803,17.56382301,16.98238626,16.79670156,17.25758856,17.44444903,17.76761363,17.79017654,17.6145052,17.64892299,17.75997908,17.36403115,17.92501906
Dapma7bEVm000014,9.188065361,9.555272545,8.729166376,8.967984155,9.001264641,9.226851646,8.954388618,9.849296682,9.373157251,9.517171367,9.403004657,9.276108796,9.357574412,9.432199476,8.903962153,9.310502804
Dapma7bEVm000015,9.388167938,9.434985689,9.366613148,9.04664656,9.073756655,9.049597108,9.06646888,9.222899431,9.243044028,9.030575221,9.23563385,9.193163022,9.105957349,9.147381394,9.013224317,9.357008328
Dapma7bEVm000016,11.05900154,11.13404781,10.73527742,10.9393755,11.15404704,10.92506663,11.02465311,11.1349163,11.25404412,11.25301102,11.05795553,11.19193502,11.25798059,11.29418,10.98743941,11.02691085
Dapma7bEVm000017,9.35240411,9.862347826,9.211325401,9.260227544,9.272975155,9.345538101,9.272993885,9.236587298,9.392693768,9.583795229,9.609877407,9.555563056,9.817973052,9.585035119,9.501533595,9.103820684
Dapma7bEVm000018,10.1387869,10.45739615,9.994533727,9.800695983,9.813310911,9.783669844,9.69692231,10.22135334,10.13571825,10.05499531,10.23883361,9.988885448,10.25975174,10.10281195,9.745156378,9.992567218
Dapma7bEVm000019,9.975899158,9.919996844,9.598593741,9.706660893,9.571437267,9.727813935,9.691694662,9.972080473,9.890130322,10.032318,10.05371499,9.714096439,9.975684971,10.15965648,9.593924297,9.931793865
Dapma7bEVm000020,8.381420964,8.214188396,7.953697222,8.644741362,8.092638291,8.539710675,7.947893837,8.610200282,8.181202605,8.452793512,8.163285577,8.245184215,8.426285597,8.453215895,8.144245009,8.1306185
Dapma7bEVm000021,10.17491271,9.992345242,10.01584304,10.09103629,9.989836113,10.24734472,10.06102216,10.00117524,10.32283412,10.37696276,10.16765917,10.01704176,10.70898634,10.4704834,10.22974804,10.63627377
Dapma7bEVm000022,10.79114081,10.8160893,10.44415674,10.57650418,10.49605547,10.55737486,10.44660365,10.67111943,11.04539088,11.10707278,10.78284357,10.69548092,10.98366662,11.01641345,10.29364992,10.9711911
Dapma7bEVm000023,8.661006026,8.758263705,8.602483149,8.960364063,9.073756655,8.7969331,8.481329133,9.161931276,8.948241422,8.515613475,8.919147227,9.095775902,8.577345859,8.871746835,8.462358287,8.831035362
