,log2FoldChange,pvalue,padj
Dapma7bEVm000001,-0.18577155,0.483260146,0.997835001
Dapma7bEVm000002,0.155734694,0.353310104,0.997835001
Dapma7bEVm000003,0.133203943,0.705047164,0.998544574
Dapma7bEVm000004,0.069255199,0.884950117,0.998544574
Dapma7bEVm000005,-0.292957705,0.19326455,0.980744892
Dapma7bEVm000006,0.015290303,0.950109043,0.998544574
Dapma7bEVm000007,-2.900336791,0.189779436,0.974950723
Dapma7bEVm000008,-0.136425627,0.402690394,0.997835001
Dapma7bEVm000009,-0.166180358,0.382890416,0.997835001
Dapma7bEVm000010,0.128849771,0.492398151,0.997835001
Dapma7bEVm000011,-0.088727668,0.654853523,0.997835001
Dapma7bEVm000012,-0.030666216,0.917875227,0.998544574
Dapma7bEVm000013,-0.362503935,0.055553184,0.791053038
Dapma7bEVm000014,0.227649034,0.44411507,0.997835001
Dapma7bEVm000015,-0.307607908,0.070288729,0.842554623
Dapma7bEVm000016,0.096349578,0.450999348,0.997835001
Dapma7bEVm000017,-0.226020318,0.312464918,0.997835001
Dapma7bEVm000018,-0.2788287,0.164081138,0.956380318
Dapma7bEVm000019,-0.079955357,0.664811397,0.998387735
Dapma7bEVm000020,0.003611467,0.992071677,0.9993904
Dapma7bEVm000021,0.010892358,0.94247083,0.998544574
Dapma7bEVm000022,-0.138266396,0.454086599,0.997835001
Dapma7bEVm000023,0.238807561,0.395539947,0.997835001
Dapma7bEVm000024,-0.181257015,0.714824448,0.998544574
Dapma7bEVm000025,0.066090777,0.78354944,0.998544574
Dapma7bEVm000026,0.112268988,0.750423629,0.998544574
Dapma7bEVm000027,-0.011299717,0.976953999,0.998544574
Dapma7bEVm000028,-0.380297794,0.20287384,0.986497866
Dapma7bEVm000029,-0.130019491,0.387193997,0.997835001
Dapma7bEVm000030,-0.631379634,0.003131611,0.256344705
Dapma7bEVm000031,-0.006130071,0.978272496,0.998544574
Dapma7bEVm000032,0.192564342,0.069313928,0.837202371
Dapma7bEVm000033,-0.253805196,0.386162071,0.997835001
Dapma7bEVm000034,-0.430782859,0.042710915,0.731325246
Dapma7bEVm000035,-0.456712503,0.042468502,0.731325246
Dapma7bEVm000036,-0.314603266,0.377998214,0.997835001
Dapma7bEVm000037,-0.100649713,0.848842652,0.998544574
Dapma7bEVm000038,0.56184457,0.069608149,0.839340691
Dapma7bEVm000039,-0.019319194,0.952443372,0.998544574
Dapma7bEVm000040,-0.502638574,0.060143254,0.809997037
Dapma7bEVm000041,-0.408985635,0.013684117,0.500063719
Dapma7bEVm000042,-0.09177071,0.823424004,0.998544574
Dapma7bEVm000043,0.131508782,0.296207994,0.997835001
Dapma7bEVm000044,-0.29393379,0.338958559,0.997835001
Dapma7bEVm000045,-0.095167704,0.61661804,0.997835001
Dapma7bEVm000046,1.437305121,0.010094021,0.454041982
Dapma7bEVm000047,0.525048742,0.167113642,0.956966695
Dapma7bEVm000048,-0.087441132,0.677629895,0.998544574
Dapma7bEVm000049,-0.460053936,0.126091586,0.932704674
Dapma7bEVm000050,1.845894363,0.086047811,0.873293134
Dapma7bEVm000051,-0.414307102,0.276978631,0.997835001
Dapma7bEVm000052,-0.316646159,0.325027483,0.997835001
Dapma7bEVm000053,-0.11645902,0.411109607,0.997835001
Dapma7bEVm000054,0.100905267,0.528100068,0.997835001
Dapma7bEVm000055,-0.139704874,0.418938934,0.997835001
Dapma7bEVm000056,-0.193741824,0.26376448,0.997835001
Dapma7bEVm000057,-0.831356555,0.017509311,0.548842176
Dapma7bEVm000058,0.05597971,0.680784773,0.998544574
Dapma7bEVm000059,-0.222876994,0.511519925,0.997835001
Dapma7bEVm000060,-0.15432492,0.103133739,0.901770852
Dapma7bEVm000061,-0.212781606,0.527641806,0.997835001
Dapma7bEVm000062,-0.228676748,0.253426464,0.997835001
Dapma7bEVm000063,0.026086944,0.948799827,0.998544574
Dapma7bEVm000064,0.003760086,0.983153641,0.999369764
Dapma7bEVm000065,0.803216789,7.66E-07,0.000365693
Dapma7bEVm000066,-0.260017991,0.813022702,0.998544574
Dapma7bEVm000067,-0.277940505,0.088828566,0.873475793
Dapma7bEVm000068,-0.017495908,0.922406326,0.998544574
Dapma7bEVm000069,-0.197265835,0.349305368,0.997835001
Dapma7bEVm000070,-0.395154339,0.521468416,0.997835001
Dapma7bEVm000071,0.643970477,0.123552329,0.93071155
Dapma7bEVm000072,0.575959173,0.235419198,0.997835001
Dapma7bEVm000073,-0.475444939,0.076353675,0.851180071
Dapma7bEVm000074,-0.254699587,0.613634247,0.997835001
Dapma7bEVm000075,-0.225743726,0.208837016,0.990920917
Dapma7bEVm000076,-0.502845331,0.011088313,0.46892466
Dapma7bEVm000077,-0.37041315,0.088799296,0.873475793
Dapma7bEVm000078,-0.267875443,0.250222985,0.997835001
