Dapma7bEVm000001	ENSG00000171587;ENSG00000177103
Dapma7bEVm000002	
Dapma7bEVm000003	ENSG00000077942;ENSG00000163520
Dapma7bEVm000004	ENSG00000004139
Dapma7bEVm000005	ENSG00000113569
Dapma7bEVm000006	ENSG00000107863;ENSG00000273780;ENSG00000275832
Dapma7bEVm000007	ENSG00000172061;ENSG00000178732
Dapma7bEVm000008	ENSG00000142599
Dapma7bEVm000009	ENSG00000102385;ENSG00000152818;ENSG00000198947
Dapma7bEVm000010	
Dapma7bEVm000011	
Dapma7bEVm000012	ENSG00000100014;ENSG00000128487
Dapma7bEVm000013	
Dapma7bEVm000014	ENSG00000009694;ENSG00000145934;ENSG00000149256;ENSG00000218336
Dapma7bEVm000015	ENSG00000056097;ENSG00000105278;ENSG00000129351;ENSG00000165209
Dapma7bEVm000016	ENSG00000110090;ENSG00000169169;ENSG00000205560
Dapma7bEVm000017	ENSG00000104067;ENSG00000105289;ENSG00000119139;ENSG00000277401
Dapma7bEVm000018	ENSG00000075702;ENSG00000137802
Dapma7bEVm000019	ENSG00000065243;ENSG00000123143;ENSG00000160447
Dapma7bEVm000020	ENSG00000124181;ENSG00000197943
Dapma7bEVm000021	ENSG00000014216;ENSG00000077274;ENSG00000092529;ENSG00000135773;ENSG00000137225;ENSG00000142330;ENSG00000149260;ENSG00000162909;ENSG00000162949;ENSG00000182472;ENSG00000203697;ENSG00000214711;ENSG00000285078
Dapma7bEVm000022	
Dapma7bEVm000023	ENSG00000105926;ENSG00000108852;ENSG00000130830;ENSG00000147044
Dapma7bEVm000024	
Dapma7bEVm000025	
Dapma7bEVm000026	
Dapma7bEVm000027	ENSG00000004846;ENSG00000005471;ENSG00000073734;ENSG00000085563;ENSG00000276582
Dapma7bEVm000028	ENSG00000076864;ENSG00000132359
Dapma7bEVm000029	ENSG00000006534;ENSG00000072210;ENSG00000108602;ENSG00000132746
Dapma7bEVm000030	ENSG00000167280
Dapma7bEVm000031	ENSG00000024048;ENSG00000144357;ENSG00000159459
Dapma7bEVm000032	
Dapma7bEVm000033	ENSG00000058063;ENSG00000068650;ENSG00000101974
Dapma7bEVm000034	
Dapma7bEVm000035	ENSG00000088247;ENSG00000107164;ENSG00000162613
Dapma7bEVm000036	
Dapma7bEVm000037	ENSG00000066044;ENSG00000107105;ENSG00000162374;ENSG00000196361
Dapma7bEVm000038	
Dapma7bEVm000039	ENSG00000091536;ENSG00000266714
Dapma7bEVm000040	
Dapma7bEVm000041	ENSG00000008323;ENSG00000171680
Dapma7bEVm000042	
Dapma7bEVm000043	
Dapma7bEVm000044	
Dapma7bEVm000045	ENSG00000105953;ENSG00000181192;ENSG00000197444
Dapma7bEVm000046	
Dapma7bEVm000047	
Dapma7bEVm000048	ENSG00000155657
Dapma7bEVm000049	
Dapma7bEVm000050	ENSG00000107789
Dapma7bEVm000051	ENSG00000151062;ENSG00000157445
Dapma7bEVm000052	ENSG00000058404;ENSG00000070808;ENSG00000145349;ENSG00000148660
Dapma7bEVm000053	
Dapma7bEVm000054	ENSG00000135972
Dapma7bEVm000055	ENSG00000128591;ENSG00000196924
Dapma7bEVm000056	ENSG00000105270;ENSG00000106665;ENSG00000115295;ENSG00000130779;ENSG00000135837
Dapma7bEVm000057	ENSG00000081248;ENSG00000102001;ENSG00000151067;ENSG00000157388
Dapma7bEVm000058	
Dapma7bEVm000059	ENSG00000072415;ENSG00000082126;ENSG00000150054;ENSG00000161647
Dapma7bEVm000060	ENSG00000143498
Dapma7bEVm000061	ENSG00000081803;ENSG00000163618
Dapma7bEVm000062	ENSG00000103091;ENSG00000127580
Dapma7bEVm000063	
Dapma7bEVm000064	ENSG00000078098;ENSG00000197635
Dapma7bEVm000065	
Dapma7bEVm000066	ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480
Dapma7bEVm000067	ENSG00000077147;ENSG00000100926;ENSG00000101337;ENSG00000125304
Dapma7bEVm000068	ENSG00000021488;ENSG00000164893
Dapma7bEVm000069	ENSG00000186212;ENSG00000187808;ENSG00000198142
Dapma7bEVm000070	
Dapma7bEVm000071	
Dapma7bEVm000072	
Dapma7bEVm000073	
Dapma7bEVm000074	
Dapma7bEVm000075	ENSG00000106714;ENSG00000108797;ENSG00000152910;ENSG00000154529;ENSG00000155052;ENSG00000174469;ENSG00000278728
Dapma7bEVm000076	ENSG00000111642;ENSG00000116254;ENSG00000170004
Dapma7bEVm000077	ENSG00000091128;ENSG00000091136;ENSG00000172037
Dapma7bEVm000078	ENSG00000053524;ENSG00000101977;ENSG00000126217
Dapma7bEVm000079	ENSG00000153404;ENSG00000165801;ENSG00000196155
Dapma7bEVm000080	
Dapma7bEVm000081	
Dapma7bEVm000082	ENSG00000064651;ENSG00000070915;ENSG00000074803
Dapma7bEVm000083	ENSG00000115415;ENSG00000126561;ENSG00000138378;ENSG00000166888;ENSG00000168610;ENSG00000170581;ENSG00000173757
Dapma7bEVm000084	ENSG00000203485
Dapma7bEVm000085	ENSG00000092051;ENSG00000104369;ENSG00000149596;ENSG00000154118
Dapma7bEVm000086	
Dapma7bEVm000087	ENSG00000159674;ENSG00000262655
Dapma7bEVm000088	
Dapma7bEVm000089	ENSG00000169682;ENSG00000182557;ENSG00000183018
Dapma7bEVm000090	ENSG00000124299;ENSG00000196236
Dapma7bEVm000091	ENSG00000119899
Dapma7bEVm000092	ENSG00000091664;ENSG00000104888;ENSG00000179520
Dapma7bEVm000093	ENSG00000123444;ENSG00000182359
Dapma7bEVm000094	
Dapma7bEVm000095	ENSG00000088387;ENSG00000135905;ENSG00000147251
Dapma7bEVm000096	ENSG00000081237;ENSG00000105426;ENSG00000142949;ENSG00000153707;ENSG00000262418;ENSG00000282932
Dapma7bEVm000097	ENSG00000033122;ENSG00000112851;ENSG00000137269;ENSG00000180900;ENSG00000274287
Dapma7bEVm000098	ENSG00000137145;ENSG00000174485;ENSG00000198837
Dapma7bEVm000099	ENSG00000089639;ENSG00000137962;ENSG00000180448
Dapma7bEVm000100	
Dapma7bEVm000101	
Dapma7bEVm000102	
Dapma7bEVm000103	
Dapma7bEVm000104	
Dapma7bEVm000105	
Dapma7bEVm000106	
Dapma7bEVm000107	
Dapma7bEVm000108	ENSG00000033627;ENSG00000105929;ENSG00000110719;ENSG00000185344
Dapma7bEVm000109	ENSG00000117868;ENSG00000139641;ENSG00000158220
Dapma7bEVm000110	ENSG00000085433
Dapma7bEVm000111	ENSG00000101187;ENSG00000137571;ENSG00000173930;ENSG00000205359
Dapma7bEVm000112	ENSG00000149328;ENSG00000163521;ENSG00000166105;ENSG00000170266
Dapma7bEVm000113	
Dapma7bEVm000114	
Dapma7bEVm000115	
Dapma7bEVm000116	ENSG00000127481
Dapma7bEVm000117	ENSG00000066739;ENSG00000110046
Dapma7bEVm000118	
Dapma7bEVm000119	
Dapma7bEVm000120	ENSG00000104936;ENSG00000143776;ENSG00000171219;ENSG00000198752
Dapma7bEVm000121	ENSG00000198399;ENSG00000205726
Dapma7bEVm000122	
Dapma7bEVm000123	ENSG00000156218;ENSG00000178031
Dapma7bEVm000124	ENSG00000108509;ENSG00000171735
Dapma7bEVm000125	
Dapma7bEVm000126	
Dapma7bEVm000127	ENSG00000100139;ENSG00000164877
Dapma7bEVm000128	
Dapma7bEVm000129	
Dapma7bEVm000130	ENSG00000095002;ENSG00000116062
Dapma7bEVm000131	ENSG00000105647;ENSG00000117461;ENSG00000145675;ENSG00000278139
Dapma7bEVm000132	
Dapma7bEVm000133	ENSG00000075340;ENSG00000087274;ENSG00000148700
Dapma7bEVm000134	ENSG00000108039;ENSG00000122121
Dapma7bEVm000135	
Dapma7bEVm000136	ENSG00000122367;ENSG00000163110;ENSG00000196923
Dapma7bEVm000137	ENSG00000105662;ENSG00000140577;ENSG00000160741
Dapma7bEVm000138	ENSG00000059145;ENSG00000132478
Dapma7bEVm000139	ENSG00000130717;ENSG00000143179;ENSG00000198276
Dapma7bEVm000140	ENSG00000164329
Dapma7bEVm000141	ENSG00000119514;ENSG00000257594
Dapma7bEVm000142	ENSG00000055208;ENSG00000157625
Dapma7bEVm000143	ENSG00000145476;ENSG00000186377
Dapma7bEVm000144	ENSG00000109181;ENSG00000135220;ENSG00000135226;ENSG00000145626;ENSG00000156096;ENSG00000167165;ENSG00000168671;ENSG00000171234;ENSG00000173610;ENSG00000174607;ENSG00000196620;ENSG00000197888;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000241635;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000275190;ENSG00000277132;ENSG00000278216
Dapma7bEVm000145	ENSG00000080618;ENSG00000091704;ENSG00000128510;ENSG00000144410;ENSG00000153002;ENSG00000158516;ENSG00000158525;ENSG00000163751;ENSG00000165078
Dapma7bEVm000146	ENSG00000088451;ENSG00000115652
Dapma7bEVm000147	
Dapma7bEVm000148	
Dapma7bEVm000149	
Dapma7bEVm000150	ENSG00000136068
Dapma7bEVm000151	
