Dapma7bEVm000001	DAPPUDRAFT_43826
Dapma7bEVm000002	DAPPUDRAFT_303490
Dapma7bEVm000003	DAPPUDRAFT_101895
Dapma7bEVm000004	DAPPUDRAFT_47049
Dapma7bEVm000005	DAPPUDRAFT_245501;DAPPUDRAFT_320530
Dapma7bEVm000006	DAPPUDRAFT_52498;DAPPUDRAFT_63187;DAPPUDRAFT_65943;DAPPUDRAFT_65955;DAPPUDRAFT_7686;DAPPUDRAFT_7698
Dapma7bEVm000007	DAPPUDRAFT_306702
Dapma7bEVm000008	DAPPUDRAFT_308596
Dapma7bEVm000009	DAPPUDRAFT_190748;DAPPUDRAFT_94977
Dapma7bEVm000010	DAPPUDRAFT_267583;DAPPUDRAFT_53583;DAPPUDRAFT_64670
Dapma7bEVm000011	DAPPUDRAFT_220982
Dapma7bEVm000012	DAPPUDRAFT_57954
Dapma7bEVm000013	DAPPUDRAFT_100635
Dapma7bEVm000014	DAPPUDRAFT_40362
Dapma7bEVm000015	DAPPUDRAFT_55188
Dapma7bEVm000016	DAPPUDRAFT_57941
Dapma7bEVm000017	DAPPUDRAFT_308707
Dapma7bEVm000018	DAPPUDRAFT_48286
Dapma7bEVm000019	DAPPUDRAFT_305605;DAPPUDRAFT_305606
Dapma7bEVm000020	DAPPUDRAFT_204745
Dapma7bEVm000021	DAPPUDRAFT_209250;DAPPUDRAFT_323575
Dapma7bEVm000022	DAPPUDRAFT_605
Dapma7bEVm000023	DAPPUDRAFT_195819;DAPPUDRAFT_7952
Dapma7bEVm000024	
Dapma7bEVm000025	DAPPUDRAFT_202334;DAPPUDRAFT_274018;DAPPUDRAFT_321484;DAPPUDRAFT_37139
Dapma7bEVm000026	DAPPUDRAFT_117124;DAPPUDRAFT_232609;DAPPUDRAFT_309388;DAPPUDRAFT_309786;DAPPUDRAFT_310816;DAPPUDRAFT_325830;DAPPUDRAFT_335901;DAPPUDRAFT_94481
Dapma7bEVm000027	DAPPUDRAFT_347264;DAPPUDRAFT_347265
Dapma7bEVm000028	DAPPUDRAFT_300644
Dapma7bEVm000029	DAPPUDRAFT_60686
Dapma7bEVm000030	DAPPUDRAFT_310328
Dapma7bEVm000031	DAPPUDRAFT_299698
Dapma7bEVm000032	DAPPUDRAFT_307901
Dapma7bEVm000033	DAPPUDRAFT_301628;DAPPUDRAFT_315464;DAPPUDRAFT_315465
Dapma7bEVm000034	DAPPUDRAFT_333581
Dapma7bEVm000035	DAPPUDRAFT_311062
Dapma7bEVm000036	DAPPUDRAFT_248308
Dapma7bEVm000037	DAPPUDRAFT_98025
Dapma7bEVm000038	DAPPUDRAFT_249283
Dapma7bEVm000039	DAPPUDRAFT_191611;DAPPUDRAFT_30708
Dapma7bEVm000040	DAPPUDRAFT_233208
Dapma7bEVm000041	
Dapma7bEVm000042	DAPPUDRAFT_325898
Dapma7bEVm000043	DAPPUDRAFT_332850
Dapma7bEVm000044	DAPPUDRAFT_111902;DAPPUDRAFT_308950
Dapma7bEVm000045	DAPPUDRAFT_197428
Dapma7bEVm000046	DAPPUDRAFT_314112
Dapma7bEVm000047	DAPPUDRAFT_309476
Dapma7bEVm000048	DAPPUDRAFT_232691;DAPPUDRAFT_299960
Dapma7bEVm000049	
Dapma7bEVm000050	DAPPUDRAFT_248902;DAPPUDRAFT_301637;DAPPUDRAFT_301638;DAPPUDRAFT_327766;DAPPUDRAFT_334588;DAPPUDRAFT_64728
Dapma7bEVm000051	DAPPUDRAFT_317041
Dapma7bEVm000052	DAPPUDRAFT_198415
Dapma7bEVm000053	DAPPUDRAFT_261018
Dapma7bEVm000054	DAPPUDRAFT_308176
Dapma7bEVm000055	DAPPUDRAFT_208250;DAPPUDRAFT_44895;DAPPUDRAFT_67992
Dapma7bEVm000056	DAPPUDRAFT_193952
Dapma7bEVm000057	DAPPUDRAFT_310458
Dapma7bEVm000058	DAPPUDRAFT_98050
Dapma7bEVm000059	DAPPUDRAFT_192312
Dapma7bEVm000060	DAPPUDRAFT_308906
Dapma7bEVm000061	DAPPUDRAFT_42881
Dapma7bEVm000062	DAPPUDRAFT_307385
Dapma7bEVm000063	DAPPUDRAFT_190601;DAPPUDRAFT_310268
Dapma7bEVm000064	DAPPUDRAFT_307138
Dapma7bEVm000065	DAPPUDRAFT_116654
Dapma7bEVm000066	DAPPUDRAFT_199162;DAPPUDRAFT_249955;DAPPUDRAFT_347603;DAPPUDRAFT_64687;DAPPUDRAFT_68162
Dapma7bEVm000067	DAPPUDRAFT_200371
Dapma7bEVm000068	DAPPUDRAFT_300005
Dapma7bEVm000069	DAPPUDRAFT_104949;DAPPUDRAFT_53087
Dapma7bEVm000070	DAPPUDRAFT_197746
Dapma7bEVm000071	DAPPUDRAFT_307664
Dapma7bEVm000072	
Dapma7bEVm000073	DAPPUDRAFT_210509;DAPPUDRAFT_221336;DAPPUDRAFT_221341
Dapma7bEVm000074	DAPPUDRAFT_105670
Dapma7bEVm000075	DAPPUDRAFT_330735
Dapma7bEVm000076	DAPPUDRAFT_232072
Dapma7bEVm000077	DAPPUDRAFT_300823
Dapma7bEVm000078	DAPPUDRAFT_21042
Dapma7bEVm000079	DAPPUDRAFT_201819
Dapma7bEVm000080	DAPPUDRAFT_300520
Dapma7bEVm000081	DAPPUDRAFT_95362
Dapma7bEVm000082	DAPPUDRAFT_203293;DAPPUDRAFT_252082;DAPPUDRAFT_307471;DAPPUDRAFT_319556;DAPPUDRAFT_319627;DAPPUDRAFT_319643;DAPPUDRAFT_324595;DAPPUDRAFT_324602;DAPPUDRAFT_324603;DAPPUDRAFT_324617
Dapma7bEVm000083	DAPPUDRAFT_97641
Dapma7bEVm000084	DAPPUDRAFT_52627
Dapma7bEVm000085	DAPPUDRAFT_41319
Dapma7bEVm000086	
Dapma7bEVm000087	DAPPUDRAFT_321105
Dapma7bEVm000088	DAPPUDRAFT_252370;DAPPUDRAFT_320158;DAPPUDRAFT_326777
Dapma7bEVm000089	DAPPUDRAFT_229380
Dapma7bEVm000090	DAPPUDRAFT_126867
Dapma7bEVm000091	DAPPUDRAFT_232979;DAPPUDRAFT_301986
Dapma7bEVm000092	DAPPUDRAFT_44380
Dapma7bEVm000093	DAPPUDRAFT_128029;DAPPUDRAFT_313524;DAPPUDRAFT_46987;DAPPUDRAFT_8332;DAPPUDRAFT_8361
Dapma7bEVm000094	DAPPUDRAFT_315633
Dapma7bEVm000095	DAPPUDRAFT_197198
Dapma7bEVm000096	DAPPUDRAFT_314862
Dapma7bEVm000097	DAPPUDRAFT_327214
Dapma7bEVm000098	DAPPUDRAFT_224383
Dapma7bEVm000099	DAPPUDRAFT_21313;DAPPUDRAFT_242370
Dapma7bEVm000100	DAPPUDRAFT_191648
Dapma7bEVm000101	DAPPUDRAFT_213992;DAPPUDRAFT_260714;DAPPUDRAFT_299677;DAPPUDRAFT_307854;DAPPUDRAFT_308059;DAPPUDRAFT_308675;DAPPUDRAFT_308693;DAPPUDRAFT_314523;DAPPUDRAFT_323929;DAPPUDRAFT_329848;DAPPUDRAFT_332233
Dapma7bEVm000102	DAPPUDRAFT_308276
Dapma7bEVm000103	DAPPUDRAFT_222518;DAPPUDRAFT_308521
Dapma7bEVm000104	DAPPUDRAFT_219239
Dapma7bEVm000105	DAPPUDRAFT_302011
Dapma7bEVm000106	DAPPUDRAFT_122319;DAPPUDRAFT_261170;DAPPUDRAFT_336336
Dapma7bEVm000107	
Dapma7bEVm000108	DAPPUDRAFT_328163;DAPPUDRAFT_62053
Dapma7bEVm000109	DAPPUDRAFT_442632
Dapma7bEVm000110	DAPPUDRAFT_300684
Dapma7bEVm000111	DAPPUDRAFT_46372
Dapma7bEVm000112	DAPPUDRAFT_326098;DAPPUDRAFT_58801
Dapma7bEVm000113	
Dapma7bEVm000114	
Dapma7bEVm000115	DAPPUDRAFT_311200
Dapma7bEVm000116	DAPPUDRAFT_307613
Dapma7bEVm000117	DAPPUDRAFT_314379
Dapma7bEVm000118	DAPPUDRAFT_302260
Dapma7bEVm000119	DAPPUDRAFT_104151
Dapma7bEVm000120	DAPPUDRAFT_50846
Dapma7bEVm000121	DAPPUDRAFT_317679
Dapma7bEVm000122	DAPPUDRAFT_316816
Dapma7bEVm000123	DAPPUDRAFT_20190
Dapma7bEVm000124	DAPPUDRAFT_312030
Dapma7bEVm000125	DAPPUDRAFT_252093
Dapma7bEVm000126	DAPPUDRAFT_47227;DAPPUDRAFT_47503
Dapma7bEVm000127	DAPPUDRAFT_324972
Dapma7bEVm000128	
Dapma7bEVm000129	DAPPUDRAFT_40460
Dapma7bEVm000130	DAPPUDRAFT_325677
Dapma7bEVm000131	DAPPUDRAFT_111818;DAPPUDRAFT_43714
Dapma7bEVm000132	
Dapma7bEVm000133	DAPPUDRAFT_299616
Dapma7bEVm000134	DAPPUDRAFT_193046;DAPPUDRAFT_307862;DAPPUDRAFT_327039;DAPPUDRAFT_59926
Dapma7bEVm000135	DAPPUDRAFT_316590
Dapma7bEVm000136	DAPPUDRAFT_301190
Dapma7bEVm000137	DAPPUDRAFT_312063
Dapma7bEVm000138	DAPPUDRAFT_340689
Dapma7bEVm000139	DAPPUDRAFT_301442;DAPPUDRAFT_331518
Dapma7bEVm000140	DAPPUDRAFT_306159
Dapma7bEVm000141	
Dapma7bEVm000142	DAPPUDRAFT_325411
Dapma7bEVm000143	DAPPUDRAFT_192258;DAPPUDRAFT_235307;DAPPUDRAFT_306533;DAPPUDRAFT_312044;DAPPUDRAFT_312048;DAPPUDRAFT_320218;DAPPUDRAFT_42950
Dapma7bEVm000144	DAPPUDRAFT_127734;DAPPUDRAFT_196057;DAPPUDRAFT_199280;DAPPUDRAFT_243524;DAPPUDRAFT_2442;DAPPUDRAFT_301113;DAPPUDRAFT_301114;DAPPUDRAFT_301445;DAPPUDRAFT_301446;DAPPUDRAFT_308463;DAPPUDRAFT_317311;DAPPUDRAFT_317312;DAPPUDRAFT_317313;DAPPUDRAFT_321427;DAPPUDRAFT_330188;DAPPUDRAFT_42213;DAPPUDRAFT_49730;DAPPUDRAFT_63336;DAPPUDRAFT_64259;DAPPUDRAFT_64677;DAPPUDRAFT_64710;DAPPUDRAFT_66055;DAPPUDRAFT_99426
Dapma7bEVm000145	DAPPUDRAFT_130340;DAPPUDRAFT_194294;DAPPUDRAFT_224487;DAPPUDRAFT_303899;DAPPUDRAFT_304390;DAPPUDRAFT_304918;DAPPUDRAFT_35749;DAPPUDRAFT_59834;DAPPUDRAFT_93775
Dapma7bEVm000146	DAPPUDRAFT_304366
Dapma7bEVm000147	DAPPUDRAFT_311082
Dapma7bEVm000148	DAPPUDRAFT_310827
Dapma7bEVm000149	DAPPUDRAFT_222016
Dapma7bEVm000150	DAPPUDRAFT_328543
Dapma7bEVm000151	DAPPUDRAFT_233798
Dapma7bEVm000152	DAPPUDRAFT_194077
Dapma7bEVm000153	DAPPUDRAFT_309374
Dapma7bEVm000154	DAPPUDRAFT_51222;DAPPUDRAFT_51380
Dapma7bEVm000155	DAPPUDRAFT_51222;DAPPUDRAFT_51380
Dapma7bEVm000156	
Dapma7bEVm000157	DAPPUDRAFT_327348
Dapma7bEVm000158	DAPPUDRAFT_304880;DAPPUDRAFT_32017;DAPPUDRAFT_335797
Dapma7bEVm000159	DAPPUDRAFT_243454;DAPPUDRAFT_304127;DAPPUDRAFT_306022;DAPPUDRAFT_307230;DAPPUDRAFT_307838;DAPPUDRAFT_307858;DAPPUDRAFT_65345
Dapma7bEVm000160	DAPPUDRAFT_303503
Dapma7bEVm000161	DAPPUDRAFT_314711
Dapma7bEVm000162	DAPPUDRAFT_303914
Dapma7bEVm000163	DAPPUDRAFT_106738
Dapma7bEVm000164	DAPPUDRAFT_321268
Dapma7bEVm000165	DAPPUDRAFT_191117
